Original incentive percentages,Upfront,Uniform,Uniform 20 years,Custom
0.035404705,0.1,0.0124,0.014243682,
0.016877077,0,0.0124,0.014243682,
0.016368003,0,0.0124,0.014243682,
0.015770131,0,0.0124,0.014243682,
0.014991521,0,0.0124,0.014243682,
0.013524835,0,0.0124,0.014243682,
0.012873584,0,0.0124,0.014243682,
0.012050693,0,0.0124,0.014243682,
0.011660043,0,0.0124,0.014243682,
0.011390284,0,0.0124,0.014243682,
0.003987473,0,0.0124,0.014243682,
0.003929271,0,0.0124,0.014243682,
0.003032544,0,0.0124,0.014243682,
0.002996018,0,0.0124,0.014243682,
0.002960555,0,0.0124,0.014243682,
0.002539943,0,0.0124,0.014243682,
0.002533878,0,0.0124,0.014243682,
0.002530166,0,0.0124,0.014243682,
0.0024808,0,0.0124,0.014243682,
0.002480534,0,0.0124,0.014243682,
